,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
931,736,621,compression,ricoh gr ,"nice colors (natural), sharp images, decent dynamic range... basically it provides nice / natural looking files from which one can then create excellent images (ie i use a raw workflow and thus i'm not talking about jpegs).e.",SS,P,
932,737,622,compression,ricoh gr ,i've yet to use the camera in raw + jpeg which perhaps might mitigate this problem.,SS,N,
933,738,623,compression,ricoh gr ,"it offers raw, jpeg and raw+ (raw + jpeg).i am using the time lapse function that many cameras do not offer (why????).",SS,N,
934,739,624,compression,ricoh gr ,turns out the jpeg engine in the ricoh is not so good.,SS,P,
935,740,625,compression,ricoh gr ,the sony's pictures shot in raw and jpeg look very good.,SS,P,
936,741,626,compression,ricoh gr ,the ricoh produces excellent raw images but the jpeg's are definitely not as good.,SS,P,
937,742,627,compression,ricoh gr ,you can shoot these in jpeg or process the raw files in the camera.the pictures the gr renders are sharp.,SS,P,
938,743,628,compression,ricoh gr ,in that regard i would compare the gr jpeg's to that of pentax jpeg's.,SS,P,
939,744,629,compression,ricoh gr ,"it is a small camera with a lot of power.throughout this review, i will write about this camera&#8217;s:compact size, how this camera has a fixed focal length of 28 mm, how to add a focal length of 35 mm and 47mm; firmware updates, built in effects, outputs in raw and jpeg, crazy sharp images - even in auto, histogram display, lcd expectations, silkypix software, date/time stamp, and accessories.this camera is easy to pack around due to its compact size.",SS,P,
940,745,630,compression,ricoh gr ,for the rest of the world these jpeg images are perfect.,SS,P,
941,746,631,compression,ricoh gr ,"in this case i set the my1, my3, my3 modes into different jpeg modes, with different pre-set combinations, different metering and focusing mode, very convenience!",SS,P,
942,747,632,compression,ricoh gr ,"if i want to shoot raw, i can just turn the dial to m-a-s-p, other than that i use ""my modes"" to shot interesting jpeg pictures.",SS,P,
943,748,633,compression,samsung ec-pl210 ,"it's pretty astounding that they fit a 10x optical zoom lens on something so small.- the video and picture resolutions are massive, and the jpeg quality can be set very high (98-99%).- the battery lasts a very long time.- the camera starts up and is ready to start shooting very quickly.",SS,P,
944,749,634,compression,samsung ec-sh100 ,"videos look terrible, as if some kind of put through a lossy compression algorithm.",SS,N,
945,750,635,compression,samsung ec-sh100 ,"i bought this camera based on the engadget recommendation, because the camera records video in h.264 instead of the horribly inefficient motion jpeg, and for the cool wifi feature.",SS,P,
946,751,636,compression,samsung ec-tl500zbpbus ,"jpeg rendering yields realistic skin tones, although the jpegs tend to give a smooth appearance.",SS,P,
947,752,637,compression,samsung ec-tl500zbpbus ,"(your wife will love pictures of herself, and possibly that was part of the design of the jpeg rendering algorithm.)",SS,P,
948,753,638,compression,samsung ec-tl500zbpbus ,"on factor that i really appreciate and takes this camera into the 'serious' range, is the ability to record images as jpeg, raw, or raw+jpeg.",SS,P,
949,754,639,compression,samsung ev-nx100 ,"once you have decompressed the file, copy either the lens firmware for the specific lens you are using or camera firmware copy it to the sd card, insert it in the camera and then go to menu 3 and it is pretty much automatic from there.",SS,P,
950,755,640,compression,samsung nx mini,"dim scenes are another story, but the nx performed reasonably well when the (oddly green) focus-assist light was turned on.the camera offers a few positive surprises on the performance front, including a 6 fps consecutive-shooting mode that lets you capture full-resolution raw or jpeg images.",SS,P,
951,756,641,compression,samsung nx100,"if you're just a happy snapper who doesn't care too much about fine quality, the jpegs will do you fine.now the pros.uh, everything else, really.it's small, and absolutely gorgeous.",SS,P,
952,757,642,compression,samsung nx1000 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
953,758,643,compression,samsung nx1000 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
954,759,644,compression,samsung nx1000 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
955,760,645,compression,samsung nx1000 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
956,761,646,compression,samsung nx1000 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
957,762,647,compression,samsung nx1000 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
958,763,648,compression,samsung nx1000 ,"i did notice on my initial jpegs that the write speed, dependent upon which settings used, wasn't lightening fast.",SS,P,
959,764,649,compression,samsung nx1000 ,quality of the images were very good in jpeg.,SS,P,
960,765,650,compression,samsung nx1000 ,"jpegs were very lifelike if slightly on the dulled side ... a quick drop in lightroom to adjust contrast, saturation and sharpening proved very fine images possible with very good focus/detail ...",SS,P,
961,766,651,compression,samsung nx1000 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
962,767,652,compression,samsung nx1000 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
963,768,653,compression,samsung nx1100,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
964,769,654,compression,samsung nx1100,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
965,770,655,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
966,771,656,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
967,772,657,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
968,773,658,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
969,774,659,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
970,775,660,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
971,776,661,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
972,777,662,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
973,778,663,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
974,779,664,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
975,780,665,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
976,781,666,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
977,782,667,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
978,783,668,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
979,784,669,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
980,785,670,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
981,786,671,compression,samsung nx1100 ,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
982,787,672,compression,samsung nx1100 ,)jpegs look very good to me with a lot of detail and sharpness.,SS,P,
983,788,673,compression,samsung nx200,"it's a shame the the nx200 lacks the option.the third problem is that the nx raw files aren't compressed, which makes them around 40 mb each.",SS,N,
984,789,674,compression,samsung nx200,raw shooters will likely be disappointed with the uncompressed files and write times.,SS,N,
985,790,675,compression,samsung nx200,"until then, the jpegs are fine.still, the camera works well and any lenses i get will work on the next generation model.",SS,P,
986,791,676,compression,samsung nx200,image quality is excellent ooc (out of camera) in jpeg superfine.,SS,P,
987,792,677,compression,samsung nx200,everyone has their favorite photo editing software but there is not much need to use it if you don't want to when shooting jpegs with the nx200.,SS,P,
988,793,678,compression,samsung nx210 ,"yes it is a plastic camera; however, it has a very solid feel to it as for image quality the jpegs are excellent.",SS,P,
989,794,679,compression,samsung nx30,"i am exclusively a raw shooter, so jpeg quality is not important to me (the nx30 is generally fine for jpg, but probably geared towards consumers).",SS,P,
990,795,680,compression,samsung nx300,sharpness is good in jpegs (i have not shot raw yet) and tones are nice and smooth (think large expanses of blue sky and clouds).,SS,P,
991,796,681,compression,samsung tl350 ,all the jpeg files loaded fine.,SS,P,
992,797,682,compression,samsung tl350 ,"jpeg management is not a problem.that aside and sure there are compromises and limitations that some people will find but this is a fun and sophisticated point & shoot, you need a bit of experience to work with this if you want to use the options available otherwise look at something else.",SS,P,
